Finding ID,CBOM Record ID,Mission Thread ID,Discovery Date,Discovery Method,Tool / Capability,Coverage Domain,Asset / Endpoint,Internet or Internal,Observed Crypto Artifact,Algorithm / Protocol,Library / Package,Container Image / Digest,SBOM Reference,Evidence Location,Finding Confidence,Authoritative Record Matched?,Validation Status,Blind Spot / Limitation,False Positive?,Remediation Required?,Assigned Owner,Next Validation Date,Source / Notes
FIND-00011,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libsodium.so.23.3.0,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libsodium.so.23.3.0,library: libsodium (libsodium.so.23.3.0),libsodium (libsodium.so.23.3.0),,,sha256:f1e78ef8deb65b13d62873fab71546ccab06c77a0115891e55ce8fb108518f96,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00012,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libssh.so.4.8.7,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libssh.so.4.8.7,library: libssh (libssh.so.4.8.7),libssh (libssh.so.4.8.7),,,sha256:66a3c908ba71ea89be3ddba61704cbb1d9fcbfeaa80b24f2d22174f27e41e36c,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00013,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/lib/x86_64-linux-gnu/libssl.so.3,Internal,shared crypto library installed at /usr/lib/x86_64-linux-gnu/libssl.so.3,library: OpenSSL libssl (libssl.so.3),OpenSSL libssl (libssl.so.3),,,sha256:03e9019df86b0d66d8f1686c9472b992c0c9196d3f2e2e8f282b37fa55f6ee7b,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00014,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libcrypto-e63abc84.so.1.1,Internal,shared crypto library installed at /usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libcrypto-e63abc84.so.1.1,library: OpenSSL libcrypto (libcrypto-e63abc84.so.1.1),OpenSSL libcrypto (libcrypto-e63abc84.so.1.1),,,sha256:045f1d019e8236db7e53062037ab10cb51fb8ddffe7cdb913bede7796dcc9265,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00015,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libkrb5-fcafa220.so.3.3,Internal,shared crypto library installed at /usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libkrb5-fcafa220.so.3.3,library: MIT Kerberos (libkrb5-fcafa220.so.3.3),MIT Kerberos (libkrb5-fcafa220.so.3.3),,,sha256:b2aab528ff4cab2144e5ce01b246ac09f574a072a53ff63ea81d6bb29b26b8f1,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00016,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libssl-3e69114b.so.1.1,Internal,shared crypto library installed at /usr/local/lib/python3.10/dist-packages/psycopg2_binary.libs/libssl-3e69114b.so.1.1,library: OpenSSL libssl (libssl-3e69114b.so.1.1),OpenSSL libssl (libssl-3e69114b.so.1.1),,,sha256:d959ea2da4273a4aa53b477df9fe5eb271c949a1494a2c41debd9cbd352cdc85,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00017,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/usr/local/lib/python3.10/dist-packages/pyzmq.libs/libsodium-19479d6d.so.26.2.0,Internal,shared crypto library installed at /usr/local/lib/python3.10/dist-packages/pyzmq.libs/libsodium-19479d6d.so.26.2.0,library: libsodium (libsodium-19479d6d.so.26.2.0),libsodium (libsodium-19479d6d.so.26.2.0),,,sha256:0ddb0009726fd4ea61cf66f2c29e52829ae95cc6600e392a0974b311e41b1be3,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00018,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/proc/crypto,Internal,algorithm registered with the Linux kernel crypto API,kernel algorithm: dh,,,,/proc/crypto name=dh,high,No,Unvalidated (automated finding),,,Yes,,,classification: quantum-vulnerable; risk: high
FIND-00019,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/proc/crypto,Internal,algorithm registered with the Linux kernel crypto API,kernel algorithm: md5,,,,/proc/crypto name=md5,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00020,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/proc/crypto,Internal,algorithm registered with the Linux kernel crypto API,"kernel algorithm: pkcs1pad(rsa,sha512)",,,,"/proc/crypto name=pkcs1pad(rsa,sha512)",high,No,Unvalidated (automated finding),,,Yes,,,classification: quantum-vulnerable; risk: high
FIND-00021,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/proc/crypto,Internal,algorithm registered with the Linux kernel crypto API,kernel algorithm: rsa,,,,/proc/crypto name=rsa,high,No,Unvalidated (automated finding),,,Yes,,,classification: quantum-vulnerable; risk: high
FIND-00022,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/proc/crypto,Internal,full list retained in the kernel; quantum-vulnerable entries reported individually,kernel crypto API: 83 registered algorithm entries (43 unique names),,,,/proc/crypto,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: info
FIND-00023,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/etc/ssh/ssh_host_rsa_key.pub,Internal,SSH daemon host key,SSH host key: RSA,,,,/etc/ssh/ssh_host_rsa_key.pub (ssh-rsa),high,No,Unvalidated (automated finding),,,Yes,,,classification: quantum-vulnerable; risk: high
FIND-00024,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/etc/ssh/ssh_host_dsa_key.pub,Internal,SSH daemon host key,SSH host key: DSA,,,,/etc/ssh/ssh_host_dsa_key.pub (ssh-dss),high,No,Unvalidated (automated finding),,,Yes,,,classification: quantum-vulnerable; risk: high
FIND-00025,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/etc/ssh/ssh_host_ed25519_key.pub,Internal,SSH daemon host key,SSH host key: Ed25519,,,,/etc/ssh/ssh_host_ed25519_key.pub (ssh-ed25519),high,No,Unvalidated (automated finding),,,Yes,,,classification: quantum-vulnerable; risk: high
FIND-00026,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/etc/ssh/ssh_host_ecdsa_key.pub,Internal,SSH daemon host key,SSH host key: ECDSA,,,,/etc/ssh/ssh_host_ecdsa_key.pub (ecdsa-sha2-nistp256),high,No,Unvalidated (automated finding),,,Yes,,,classification: quantum-vulnerable; risk: high
FIND-00027,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/etc/ssl/certs,Internal,system trust store; individual certificates are predominantly RSA/ECDSA (quantum-vulnerable signatures); scan with `qsearch scan` for per-certificate fingerprints,OS certificate store: 245 certificates,,,,/etc/ssl/certs,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: info
FIND-00028,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/etc/ssl/openssl.cnf,Internal,system-wide TLS/crypto configuration,crypto policy file (HOME			= .),,,,/etc/ssl/openssl.cnf,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: info
FIND-00029,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,openssl (PATH),Internal,OpenSSL command-line tool present,tool: OpenSSL 3.0.2 15 Mar 2022 (Library: OpenSSL 3.0.2 15 Mar 2022),,,,openssl version,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: info
FIND-00030,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,process systemd (pid 1964354),Internal,crypto libraries mapped into a running process,"process crypto usage: OpenSSL libcrypto, libgcrypt",,,,/proc/1964354/maps,high,No,Unvalidated (automated finding),,,No,,,classification: context; risk: medium
FIND-00031,,,2026-08-13,directly observed,qSearch 1.0.0 (system collector),host inventory,/proc,Internal,blind spot reported explicitly (spec 4.5),process scan: 201 processes unreadable; non-root scans cannot guarantee full process coverage,,,,/proc/*/maps,high,No,Unvalidated (automated finding),blind spot reported explicitly (spec 4.5),,No,,,classification: context; risk: info
